cell_id,day,donor,cell_type,technology
a188a3cb41a9,3,13176,EryP,citeseq
eb6b317eb54a,2,32606,EryP,citeseq
f39a18417429,2,13176,EryP,citeseq
a34cadd4284f,4,31800,EryP,citeseq
11549dfe4906,2,13176,EryP,citeseq
1e296c08ae2b,4,31800,EryP,citeseq
4727d600d04a,3,31800,EryP,citeseq
a857258ff94a,2,13176,EryP,citeseq
30e457a889b2,3,13176,EryP,citeseq
67710a0db5e7,2,32606,EryP,citeseq
098d7a95ea31,4,31800,EryP,citeseq
1d319539dfa8,4,32606,EryP,citeseq
8f242c304e44,2,13176,EryP,citeseq
64cacb45789f,3,31800,EryP,citeseq
e63d7b8651f5,3,31800,EryP,citeseq
dc4fe39de4f2,3,31800,EryP,citeseq
409d0bd79544,4,13176,EryP,citeseq
fb024a9f04c2,3,32606,EryP,citeseq
b0c4aafe83d5,2,32606,EryP,citeseq
4a575b61a61c,3,31800,EryP,citeseq
796f3115aae7,4,31800,EryP,citeseq
0c7930d24e25,3,13176,EryP,citeseq
7200df568d5d,3,32606,EryP,citeseq
5798d2879d38,2,13176,EryP,citeseq
ede5fe5985ad,2,13176,EryP,citeseq
ea18ca3ab405,3,13176,EryP,citeseq
40c1fb9f5bc7,2,32606,EryP,citeseq
b0625f5843e5,4,32606,EryP,citeseq
59640370e644,4,32606,EryP,citeseq
301adb16a930,4,31800,EryP,citeseq
54c639f8a926,3,13176,EryP,citeseq
d08d81fa9fd4,4,31800,EryP,citeseq
9f2402186d53,3,31800,EryP,citeseq
0d3c373cb6b5,4,13176,EryP,citeseq
206beedee158,2,31800,EryP,citeseq
ca179a236e45,3,32606,EryP,citeseq
60b53a6eeb12,4,13176,EryP,citeseq
01e1b260628d,3,32606,EryP,citeseq
b0e18b028679,3,32606,EryP,citeseq
48353d7ebf71,4,13176,EryP,citeseq
224c908aa71d,2,31800,EryP,citeseq
b44eb96d38a4,2,32606,EryP,citeseq
999937fbc562,3,32606,EryP,citeseq
bb412ea4031d,4,32606,EryP,citeseq
d7d216b424f2,4,32606,EryP,citeseq
59422db73917,3,32606,EryP,citeseq
195457949d78,4,13176,EryP,citeseq
88f98146b5ed,2,32606,EryP,citeseq
3743b4429d7b,3,32606,EryP,citeseq
e4dcaebadc1d,3,31800,EryP,citeseq
580c50642e22,4,32606,EryP,citeseq
d83083a95599,4,32606,EryP,citeseq
2501dd0d0912,4,13176,EryP,citeseq
d6ac445dc53b,3,31800,EryP,citeseq
95f3ec97d286,2,13176,EryP,citeseq
101d76fc1804,3,31800,EryP,citeseq
bbafc3022363,4,13176,EryP,citeseq
c2937984eefc,3,31800,EryP,citeseq
1e0babe8da3f,2,31800,EryP,citeseq
650252c2fd00,4,13176,EryP,citeseq
6147261451d6,2,31800,EryP,citeseq
9f0820b6ccf1,3,31800,EryP,citeseq
cf4a59752c83,4,13176,EryP,citeseq
69d45fedc8ec,3,32606,EryP,citeseq
624a25d41123,3,13176,EryP,citeseq
4d6665f4b356,2,31800,EryP,citeseq
6787cb877d6d,3,13176,EryP,citeseq
9637e0877b01,2,13176,EryP,citeseq
64018926c70f,3,13176,EryP,citeseq
c5d403ce42cd,2,31800,EryP,citeseq
556badcfdc42,3,31800,EryP,citeseq
7e564e8a5113,2,32606,EryP,citeseq
90b39fa599f8,4,31800,EryP,citeseq
81ec85853990,4,13176,EryP,citeseq
95a612d017cf,4,32606,EryP,citeseq
5338c879780a,2,31800,EryP,citeseq
43628dad61de,3,32606,EryP,citeseq
01f68af58f64,4,32606,EryP,citeseq
1cd473529ca8,4,13176,EryP,citeseq
cabb3754e850,4,32606,EryP,citeseq
55085f4654bc,2,32606,EryP,citeseq
bb0885c2eecb,3,31800,EryP,citeseq
b60224862ca6,3,31800,EryP,citeseq
51c50eaae698,4,31800,EryP,citeseq
